IsVant	Form	BaseSyllables	BaseUnderlyingAccent	FinalSeg-vowel	FS-[+high]	FS-[+long]	FS-[+round]	FS-[+coronal]	FS-[+anterior]	FS-[+back]	FS-[+continuant]	FS-[+nasal]	FS-[+son]	2SRetroPalatal	2Siu
1	kSEtavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	stavAnt	1	0	1	0	0	0	0	0	0	1	0	1	0	0
1	hAstavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	rAthavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	apaasthAvant	3	1	1	0	0	0	0	0	0	1	0	1	0	0
1	dAAnavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	apidhAAnavant	3	1	1	0	0	0	0	0	0	1	0	1	0	0
1	sInavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	vayUnavant	3	1	1	0	0	0	0	0	0	1	0	1	0	0
1	rAtnavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	Annavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	dyumnAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	apuupAvant	3	1	1	0	0	0	0	0	0	1	0	1	0	0
1	pUSpavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	zaphAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	Amavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	himAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	somAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	dhArmavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	hIraNyavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	matsarAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	vAAravant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	viirAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	pAviiravant	3	1	1	0	0	0	0	0	0	1	0	1	0	0
1	tuviirAvant	3	1	1	0	0	0	0	0	0	1	0	1	0	0
1	dAtravant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	pavItravant	3	1	1	0	0	0	0	0	0	1	0	1	0	0
1	candrAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	Indravant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	zIpravant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	sahAsravant	3	1	1	0	0	0	0	0	0	1	0	1	0	0
1	bAlavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	caSAAlavant	3	1	1	0	0	0	0	0	0	1	0	1	0	0
1	nIIlavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	devAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	Azvavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	kEzavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	iSAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	viSAvant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	rAsavant	2	1	1	0	0	0	0	0	0	1	0	1	0	0
1	ziitikaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	hlaadikaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	Rghaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	prajAAvant	2	1	1	0	1	0	0	0	0	1	0	1	1	0
1	Idaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	zaryaNAAvant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	barhANaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	durhANaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	dAkSinaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	UUrNaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	tAAvant	1	1	1	0	1	0	0	0	0	1	0	1	0	0
1	hitAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	sutAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	etAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	suunRtaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	bhuuridAAvant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	svadhAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	vacanAAvant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	krzanAAvant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	daNsAnaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	mehAnaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	dhaanAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	mAAhinaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	vayUnaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	gnAAvant	1	1	1	0	1	0	0	0	0	1	0	1	0	0
1	vapAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	kSApaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	kSapAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	gopAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	sabhAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	vibhAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	mAAvant	1	1	1	0	1	0	0	0	0	1	0	1	0	0
1	yuSmAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	yAAvant	1	1	1	0	1	0	0	0	0	1	0	1	0	0
1	vayAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	maayAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	rtvIyaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	vRSNyaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	pastIyaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	hemyAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	omyAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	pItryaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	vizvAdevyaavant	4	1	1	0	1	0	0	0	0	1	0	1	0	0
1	trSyAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	poSyAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	tarSyAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	Iraavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	bhaNguraavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	sUraavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	Indraavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	zubhraavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	yuvAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	devAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	tvAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
